序号,阶段,任务名称,任务说明,优先级,状态
1,第1周,初始化项目骨架,创建后端Spring Boot 3项目与前端Vue 3项目,高,已完成
2,第1周,配置基础环境,配置PostgreSQL Redis MinIO和基础依赖,高,已完成
3,第1周,实现用户注册登录,完成基础鉴权和用户信息管理,高,已完成
4,第1周,设计首页布局,完成首页 笔记列表页 编辑页 详情页的基础骨架,高,进行中
5,第1周,接入Markdown编辑器,集成TipTap并完成基础编辑能力,高,进行中
6,第1周,实现笔记CRUD,支持新建 编辑 删除 收藏 最近编辑,高,已完成
7,第1周,实现文件夹标签管理,支持笔记分类与筛选,高,进行中
8,第2周,实现全文搜索,接入Elasticsearch完成标题和内容搜索,高,未开始
9,第2周,实现搜索高亮与定位,返回命中片段并支持跳转原文,高,未开始
10,第2周,实现文档索引任务,笔记保存后异步构建搜索索引,高,未开始
11,第3周,接入Spring AI Alibaba,完成模型接入与统一调用封装,高,未开始
12,第3周,实现笔记总结,自动生成摘要关键结论与风险点,高,未开始
13,第3周,实现AI问答,支持对单篇和全库进行提问并返回引用来源,高,未开始
14,第3周,实现相关文档推荐,根据当前笔记推荐相似内容,中,未开始
15,第4周,实现待办提取,从笔记中识别待办事项截止时间和优先级,高,未开始
16,第4周,实现待办管理,支持状态流转和来源回链,高,未开始
17,第4周,实现提醒功能,支持到期提醒每日提醒每周提醒,高,未开始
18,第4周,接入RabbitMQ异步任务,用于索引 总结 提醒等异步处理,中,未开始
19,第5周,实现智能体任务编排,支持用户目标拆解和工具调用流程,中,未开始
20,第5周,实现审计日志,记录AI调用 工具调用 任务执行和错误日志,中,未开始
21,第5周,优化前端交互,完善搜索 AI面板 待办提醒等体验,中,未开始
22,第6周,上线前测试与修复,完成主要流程测试和问题修复,高,未开始
23,第6周,准备演示数据,制作典型知识笔记和待办提醒演示场景,中,未开始
24,第6周,整理部署脚本,完成Docker部署和上线准备,中,未开始
